total_bill,tip,sex,smoker,day,time,size,tips_range,Weighted_bill
19.44,3,Male,Yes,Thur,Lunch,2,0.154320988,0.051440329
16.66,3.4,Male,No,Thur,Lunch,2,0.204081633,0.06002401
10.07,1.83,Female,No,Thur,Lunch,1,0.181727905,0.099304866
32.68,5,Male,Yes,Thur,Lunch,2,0.152998776,0.030599755
15.98,2.03,Male,No,Thur,Lunch,2,0.127033792,0.062578223
34.83,5.17,Female,No,Thur,Lunch,4,0.148435257,0.028710881
13.03,2,Male,No,Thur,Lunch,2,0.153491942,0.076745971
18.28,4,Male,No,Thur,Lunch,2,0.218818381,0.054704595
24.71,5.85,Male,No,Thur,Lunch,2,0.236746257,0.040469446
21.16,3,Male,No,Thur,Lunch,2,0.141776938,0.047258979
28.97,3,Male,Yes,Fri,Dinner,2,0.103555402,0.034518467
22.49,3.5,Male,No,Fri,Dinner,2,0.155624722,0.044464206
5.75,1,Female,Yes,Fri,Dinner,2,0.173913043,0.173913043
16.32,4.3,Female,Yes,Fri,Dinner,2,0.263480392,0.06127451
22.75,3.25,Female,No,Fri,Dinner,2,0.142857143,0.043956044
40.17,4.73,Male,Yes,Fri,Dinner,4,0.117749564,0.0248942
27.28,4,Male,Yes,Fri,Dinner,2,0.146627566,0.036656891
12.03,1.5,Male,Yes,Fri,Dinner,2,0.124688279,0.08312552
21.01,3,Male,Yes,Fri,Dinner,2,0.142789148,0.047596383
12.46,1.5,Male,No,Fri,Dinner,2,0.120385233,0.080256822
11.35,2.5,Female,Yes,Fri,Dinner,2,0.220264317,0.088105727
15.38,3,Female,Yes,Fri,Dinner,2,0.195058518,0.065019506
44.3,2.5,Female,Yes,Sat,Dinner,3,0.056433409,0.022573363
22.42,3.48,Female,Yes,Sat,Dinner,2,0.155218555,0.044603033
20.92,4.08,Female,No,Sat,Dinner,2,0.195028681,0.047801147
15.36,1.64,Male,Yes,Sat,Dinner,2,0.106770833,0.065104167
20.49,4.06,Male,Yes,Sat,Dinner,2,0.198145437,0.048804295
25.21,4.29,Male,Yes,Sat,Dinner,2,0.170170567,0.039666799
18.24,3.76,Male,No,Sat,Dinner,2,0.206140351,0.054824561
14.31,4,Female,Yes,Sat,Dinner,2,0.279524808,0.069881202
14,3,Male,No,Sat,Dinner,2,0.214285714,0.071428571
7.25,1,Female,No,Sat,Dinner,1,0.137931034,0.137931034
38.07,4,Male,No,Sun,Dinner,3,0.105069609,0.026267402
23.95,2.55,Male,No,Sun,Dinner,2,0.106471816,0.041753653
25.71,4,Female,No,Sun,Dinner,3,0.155581486,0.038895371
17.31,3.5,Female,No,Sun,Dinner,2,0.202195263,0.057770075
29.93,5.07,Male,No,Sun,Dinner,4,0.169395256,0.033411293
10.65,1.5,Female,No,Thur,Lunch,2,0.14084507,0.093896714
12.43,1.8,Female,No,Thur,Lunch,2,0.144810941,0.080450523
24.08,2.92,Female,No,Thur,Lunch,4,0.121262458,0.041528239
11.69,2.31,Male,No,Thur,Lunch,2,0.19760479,0.085543199
13.42,1.68,Female,No,Thur,Lunch,2,0.125186289,0.074515648
14.26,2.5,Male,No,Thur,Lunch,2,0.175315568,0.070126227
15.95,2,Male,No,Thur,Lunch,2,0.12539185,0.062695925
12.48,2.52,Female,No,Thur,Lunch,2,0.201923077,0.080128205
29.8,4.2,Female,No,Thur,Lunch,6,0.140939597,0.033557047
8.52,1.48,Male,No,Thur,Lunch,2,0.17370892,0.117370892
14.52,2,Female,No,Thur,Lunch,2,0.137741047,0.068870523
11.38,2,Female,No,Thur,Lunch,2,0.175746924,0.087873462
22.82,2.18,Male,No,Thur,Lunch,3,0.095530237,0.043821209
19.08,1.5,Male,No,Thur,Lunch,2,0.078616352,0.052410901
20.27,2.83,Female,No,Thur,Lunch,2,0.139615195,0.049333991
11.17,1.5,Female,No,Thur,Lunch,2,0.134288272,0.089525515
12.26,2,Female,No,Thur,Lunch,2,0.163132137,0.081566069
18.26,3.25,Female,No,Thur,Lunch,2,0.177984666,0.054764513
8.51,1.25,Female,No,Thur,Lunch,2,0.146886016,0.117508813
10.33,2,Female,No,Thur,Lunch,2,0.193610842,0.096805421
14.15,2,Female,No,Thur,Lunch,2,0.141342756,0.070671378
16,2,Male,Yes,Thur,Lunch,2,0.125,0.0625
13.16,2.75,Female,No,Thur,Lunch,2,0.208966565,0.075987842
17.47,3.5,Female,No,Thur,Lunch,2,0.200343446,0.057240985
34.3,6.7,Male,No,Thur,Lunch,6,0.195335277,0.029154519
41.19,5,Male,No,Thur,Lunch,5,0.121388687,0.024277737
27.05,5,Female,No,Thur,Lunch,6,0.184842884,0.036968577
16.43,2.3,Female,No,Thur,Lunch,2,0.139987827,0.060864273
8.35,1.5,Female,No,Thur,Lunch,2,0.179640719,0.119760479
18.64,1.36,Female,No,Thur,Lunch,3,0.072961373,0.053648069
11.87,1.63,Female,No,Thur,Lunch,2,0.137320977,0.084245998
9.78,1.73,Male,No,Thur,Lunch,2,0.176891616,0.102249489
7.51,2,Male,No,Thur,Lunch,2,0.266311585,0.133155792
14.07,2.5,Male,No,Sun,Dinner,2,0.177683014,0.071073205
13.13,2,Male,No,Sun,Dinner,2,0.152322925,0.076161462
17.26,2.74,Male,No,Sun,Dinner,3,0.158748552,0.057937428
24.55,2,Male,No,Sun,Dinner,4,0.081466395,0.040733198
19.77,2,Male,No,Sun,Dinner,4,0.101163379,0.050581689
29.85,5.14,Female,No,Sun,Dinner,5,0.172194305,0.033500838
48.17,5,Male,No,Sun,Dinner,6,0.103799045,0.020759809
25,3.75,Female,No,Sun,Dinner,4,0.15,0.04
13.39,2.61,Female,No,Sun,Dinner,2,0.194921583,0.074682599
16.49,2,Male,No,Sun,Dinner,4,0.121285628,0.060642814
21.5,3.5,Male,No,Sun,Dinner,4,0.162790698,0.046511628
12.66,2.5,Male,No,Sun,Dinner,2,0.197472354,0.078988942
16.21,2,Female,No,Sun,Dinner,3,0.123380629,0.061690315
13.81,2,Male,No,Sun,Dinner,2,0.144822592,0.072411296
17.51,3,Female,Yes,Sun,Dinner,2,0.171330668,0.057110223
24.52,3.48,Male,No,Sun,Dinner,3,0.141924959,0.040783034
20.76,2.24,Male,No,Sun,Dinner,2,0.107899807,0.048169557
31.71,4.5,Male,No,Sun,Dinner,4,0.141911069,0.031535793
10.59,1.61,Female,Yes,Sat,Dinner,2,0.152030217,0.094428706
10.63,2,Female,Yes,Sat,Dinner,2,0.188146754,0.094073377
50.81,10,Male,Yes,Sat,Dinner,3,0.196811651,0.019681165
15.81,3.16,Male,Yes,Sat,Dinner,2,0.199873498,0.063251107
7.25,5.15,Male,Yes,Sun,Dinner,2,0.710344828,0.137931034
31.85,3.18,Male,Yes,Sun,Dinner,2,0.099843014,0.031397174
16.82,4,Male,Yes,Sun,Dinner,2,0.237812128,0.059453032
32.9,3.11,Male,Yes,Sun,Dinner,2,0.094528875,0.030395137
17.89,2,Male,Yes,Sun,Dinner,2,0.111794298,0.055897149
14.48,2,Male,Yes,Sun,Dinner,2,0.138121547,0.069060773
9.6,4,Female,Yes,Sun,Dinner,2,0.416666667,0.104166667
34.63,3.55,Male,Yes,Sun,Dinner,2,0.102512273,0.028876697
34.65,3.68,Male,Yes,Sun,Dinner,4,0.106204906,0.028860029
23.33,5.65,Male,Yes,Sun,Dinner,2,0.242177454,0.042863266
45.35,3.5,Male,Yes,Sun,Dinner,3,0.077177508,0.022050717
23.17,6.5,Male,Yes,Sun,Dinner,4,0.280535175,0.043159258
40.55,3,Male,Yes,Sun,Dinner,2,0.073982737,0.024660912
20.69,5,Male,No,Sun,Dinner,5,0.241662639,0.048332528
20.9,3.5,Female,Yes,Sun,Dinner,3,0.167464115,0.04784689
30.46,2,Male,Yes,Sun,Dinner,5,0.065659882,0.032829941
18.15,3.5,Female,Yes,Sun,Dinner,3,0.192837466,0.055096419
23.1,4,Male,Yes,Sun,Dinner,3,0.173160173,0.043290043
15.69,1.5,Male,Yes,Sun,Dinner,2,0.095602294,0.063734863
19.81,4.19,Female,Yes,Thur,Lunch,2,0.211509339,0.050479556
28.44,2.56,Male,Yes,Thur,Lunch,2,0.090014065,0.035161744
15.48,2.02,Male,Yes,Thur,Lunch,2,0.130490956,0.064599483
16.58,4,Male,Yes,Thur,Lunch,2,0.241254524,0.060313631
7.56,1.44,Male,No,Thur,Lunch,2,0.19047619,0.132275132
10.34,2,Male,Yes,Thur,Lunch,2,0.193423598,0.096711799
43.11,5,Female,Yes,Thur,Lunch,4,0.115982371,0.023196474
13,2,Female,Yes,Thur,Lunch,2,0.153846154,0.076923077
13.51,2,Male,Yes,Thur,Lunch,2,0.14803849,0.074019245
18.71,4,Male,Yes,Thur,Lunch,3,0.213789417,0.053447354
12.74,2.01,Female,Yes,Thur,Lunch,2,0.157770801,0.078492936
13,2,Female,Yes,Thur,Lunch,2,0.153846154,0.076923077
16.4,2.5,Female,Yes,Thur,Lunch,2,0.152439024,0.06097561
20.53,4,Male,Yes,Thur,Lunch,4,0.194836824,0.048709206
16.47,3.23,Female,Yes,Thur,Lunch,3,0.196114147,0.060716454
26.59,3.41,Male,Yes,Sat,Dinner,3,0.128243701,0.037608123
38.73,3,Male,Yes,Sat,Dinner,4,0.077459334,0.025819778
24.27,2.03,Male,Yes,Sat,Dinner,2,0.083642357,0.041203131
12.76,2.23,Female,Yes,Sat,Dinner,2,0.17476489,0.078369906
30.06,2,Male,Yes,Sat,Dinner,3,0.066533599,0.0332668
25.89,5.16,Male,Yes,Sat,Dinner,4,0.199304751,0.038624952
48.33,9,Male,No,Sat,Dinner,4,0.186219739,0.020691082
13.27,2.5,Female,Yes,Sat,Dinner,2,0.188394876,0.07535795
28.17,6.5,Female,Yes,Sat,Dinner,3,0.230741924,0.035498758
12.9,1.1,Female,Yes,Sat,Dinner,2,0.085271318,0.07751938
28.15,3,Male,Yes,Sat,Dinner,5,0.106571936,0.035523979
11.59,1.5,Male,Yes,Sat,Dinner,2,0.129421915,0.086281277
7.74,1.44,Male,Yes,Sat,Dinner,2,0.186046512,0.129198966
30.14,3.09,Female,Yes,Sat,Dinner,4,0.102521566,0.0331785
12.16,2.2,Male,Yes,Fri,Lunch,2,0.180921053,0.082236842
13.42,3.48,Female,Yes,Fri,Lunch,2,0.259314456,0.074515648
8.58,1.92,Male,Yes,Fri,Lunch,1,0.223776224,0.116550117
15.98,3,Female,No,Fri,Lunch,3,0.187734668,0.062578223
13.42,1.58,Male,Yes,Fri,Lunch,2,0.117734724,0.074515648
16.27,2.5,Female,Yes,Fri,Lunch,2,0.153657037,0.061462815
10.09,2,Female,Yes,Fri,Lunch,2,0.198216056,0.099108028
20.45,3,Male,No,Sat,Dinner,4,0.146699267,0.048899756
13.28,2.72,Male,No,Sat,Dinner,2,0.204819277,0.075301205
22.12,2.88,Female,Yes,Sat,Dinner,2,0.130198915,0.045207957
24.01,2,Male,Yes,Sat,Dinner,4,0.083298626,0.041649313
15.69,3,Male,Yes,Sat,Dinner,3,0.191204589,0.063734863
11.61,3.39,Male,No,Sat,Dinner,2,0.291989664,0.086132644
10.77,1.47,Male,No,Sat,Dinner,2,0.136490251,0.092850511
15.53,3,Male,Yes,Sat,Dinner,2,0.193174501,0.0643915
10.07,1.25,Male,No,Sat,Dinner,2,0.124131082,0.099304866
12.6,1,Male,Yes,Sat,Dinner,2,0.079365079,0.079365079
32.83,1.17,Male,Yes,Sat,Dinner,2,0.035638136,0.030459945
35.83,4.67,Female,No,Sat,Dinner,3,0.130337706,0.027909573
29.03,5.92,Male,No,Sat,Dinner,3,0.203926972,0.034447124
27.18,2,Female,Yes,Sat,Dinner,2,0.073583517,0.036791759
22.67,2,Male,Yes,Sat,Dinner,2,0.08822232,0.04411116
17.82,1.75,Male,No,Sat,Dinner,2,0.098204265,0.056116723
18.78,3,Female,No,Thur,Dinner,2,0.159744409,0.053248136
